"species_filename","species_col","match"
"Salix lasiolepis","Salix lasiolepis",1
"Salix scouleriana","Salix scouleriana",1
"Sassafras albidum","Sassafras albidum",1
"Seseli libanotis","Seseli libanotis",1
"Silaum silaus","Silaum silaus",1
"Sium suave","Sium suave",1
"Sorbus americana","Sorbus americana",1
"Spermolepis divaricata","Spermolepis divaricata",1
"Sphenosciadium capitellatum","Angelica capitellata",0
"Syringa vulgaris","Syringa vulgaris",1
"Taenidia integerrima","Taenidia integerrima",1
"Tauschia arguta","Tauschia arguta",1
"Tauschia parishii","Tauschia parishii",1
"Thamnosma montana","Thamnosma montana",1
"Thamnosma texana","Thamnosma texana",1
"Thaspium barbinode","Thaspium barbinode",1
"Tiedemannia canbyi","Tiedemannia canbyi",1
"Tilia americana","Tilia americana",1
"Trinia glauca","Trinia glauca",1
"Vauquelinia californica","Vauquelinia californica",1
"Zanthoxylum americanum","Zanthoxylum americanum",1
"Zanthoxylum clava-herculis","Zanthoxylum clava-herculis",1
"Zanthoxylum fagara","Zanthoxylum fagara",1
"Zizia aptera","Zizia aptera",1
"Zizia aurea","Zizia aurea",1
