"species","pre1900","d1900","d1910","d1920","d1930","d1940","d1950","d1960","d1970","d1980","d1990","d2000","d2010","d2020","date_missing"
"Prunus cerasus",13,23,11,10,6,5,3,17,16,5,13,17,24,49,10
"Prunus domestica",12,16,10,4,11,5,19,20,8,33,35,52,213,155,17
"Prunus emarginata",101,78,105,186,336,170,211,186,326,210,126,387,467,432,105
"Prunus ilicifolia",19,17,5,57,129,38,67,190,122,122,225,367,1612,1700,290
"Prunus pensylvanica",94,70,83,81,127,134,245,222,271,171,173,192,904,888,145
"Prunus persica",10,8,5,10,15,11,9,91,82,78,133,121,1458,1577,43
"Prunus serotina",161,109,65,115,176,222,276,405,565,787,1480,731,8125,10726,256
"Prunus virginiana",238,165,185,233,407,326,408,499,646,535,630,2752,9396,6392,479
"Pseudocymopterus montanus",5,8,4,11,21,5,20,44,43,57,90,61,53,3,141
"Ptelea crenulata",0,6,2,6,14,9,3,13,20,17,7,23,187,198,3
"Ptelea trifoliata",105,77,43,24,74,85,99,185,396,352,332,351,1622,1805,77
"Pteryxia hendersonii",5,5,5,2,0,3,2,1,12,40,20,21,9,1,6
"Pteryxia petraea",7,0,3,1,6,5,6,9,16,55,17,75,36,5,5
"Pteryxia terebinthina",24,11,7,18,46,40,35,29,67,85,59,67,69,35,12
"Ptilimnium capillaceum",42,25,17,19,24,25,24,44,61,49,51,118,187,364,8
"Ruta chalepensis",0,0,0,0,2,2,12,19,23,89,48,42,47,11,10
"Ruta graveolens",7,2,2,1,4,1,6,11,6,49,27,21,51,80,9
"Salix babylonica",33,12,4,6,10,8,11,45,38,40,50,52,519,231,9
"Salix exigua",221,135,125,178,649,162,255,335,537,623,500,622,1562,539,193
"Salix hookeriana",19,2,2,23,51,1,2,6,12,6,5,33,75,99,4
"Salix lasiandra",62,24,31,25,137,16,31,57,71,68,24,79,113,165,36
"Salix lasiolepis",125,99,109,188,693,105,214,353,357,486,453,530,1264,985,97
"Salix scouleriana",163,117,96,364,434,102,171,329,336,251,148,261,212,215,94
"Sassafras albidum",128,65,61,70,101,73,110,193,173,144,287,388,8001,12504,95
"Seseli libanotis",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"Silaum silaus",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sium suave",138,56,72,73,101,79,161,97,175,219,157,122,625,733,84
"Sorbus americana",31,45,24,36,28,27,60,44,67,54,74,79,1036,584,46
"Spermolepis divaricata",19,4,5,2,8,12,20,18,15,23,22,40,35,2,7
"Sphenosciadium capitellatum",6,9,9,22,32,9,15,29,65,41,38,58,30,1,7
"Syringa vulgaris",22,10,6,2,11,13,10,50,52,70,65,93,5104,4082,26
"Taenidia integerrima",87,34,36,48,51,34,52,42,47,46,48,50,319,392,32
"Tauschia arguta",4,0,4,21,30,21,17,62,57,45,74,172,183,221,8
"Tauschia parishii",3,1,5,15,9,10,11,37,28,41,74,59,101,37,4
"Thamnosma montana",10,11,4,22,79,28,39,119,182,123,118,147,579,552,17
"Thamnosma texana",20,13,4,5,25,29,16,40,103,75,101,69,152,158,9
"Thaspium barbinode",56,22,19,30,31,44,55,63,53,45,81,83,111,59,19
"Tiedemannia canbyi",3,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"Tilia americana",236,111,144,138,210,136,182,267,323,449,448,7361,17276,4638,310
"Vauquelinia californica",4,3,0,1,7,5,21,55,63,44,57,34,46,42,6
"Zanthoxylum americanum",58,37,45,27,52,63,94,96,103,109,88,58,878,1271,62
"Zanthoxylum clava-herculis",18,3,2,10,19,14,9,23,36,61,74,59,1397,2055,10
"Zanthoxylum fagara",6,3,7,5,25,8,23,71,139,304,301,144,416,521,7
"Zizia aptera",75,51,34,45,39,71,45,61,105,94,57,64,314,428,42
"Zizia aurea",160,77,54,73,130,145,165,197,189,219,145,109,1964,2528,78
