"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host"
"Papilio rumiko","insect + host","ssp370_2071",180643,40.69,17.71,-86.81,-122.69,26.23,20.94,-104.9,-109.69,137511,231401,43132,5,0,-117,4,NA,88
"Papilio rutulus","total insect","current",520556,51.77,30.94,-104.94,-126.04,49.54,34.83,-113.9,-123.98,NA,NA,NA,NA,NA,NA,NA,99.97,NA
"Papilio rutulus","total insect","ssp245_2041",656357,50.62,30.71,-104.94,-125.06,48.31,35.5,-112.87,-123.48,318289,182488,338068,-127,5,0,4,99.48,NA
"Papilio rutulus","total insect","ssp245_2071",668455,50.56,23.73,-104.98,-125.12,48.56,35.44,-114.48,-123.31,319287,171389,349168,-144,5,-11,4,99.75,NA
"Papilio rutulus","total insect","ssp370_2041",662607,50.6,30.81,-104.98,-125.15,48.54,35.67,-115.1,-123.54,314758,172707,347850,-139,5,-7,4,99.71,NA
"Papilio rutulus","total insect","ssp370_2071",681525,58.42,23.73,-104.98,-131.87,50.1,36.98,-115.35,-123.73,317952,156983,363573,-9,5,-71,3,99.8,NA
"Papilio rutulus","insect + host","current",520380,51.77,30.94,-104.94,-126.04,49.54,34.83,-113.9,-123.98,NA,NA,NA,NA,NA,NA,NA,NA,0.23
"Papilio rutulus","insect + host","ssp245_2041",652948,50.62,30.75,-104.94,-125.06,48.31,35.5,-112.9,-123.48,316651,184083,336297,-127,5,0,4,NA,1.3
"Papilio rutulus","insect + host","ssp245_2071",666770,50.56,23.73,-104.98,-125.12,48.56,35.44,-114.48,-123.31,318457,172067,348313,-144,5,-11,4,NA,1.49
"Papilio rutulus","insect + host","ssp370_2041",660708,50.6,30.81,-104.98,-125.15,48.54,35.67,-115.1,-123.54,313743,173415,346965,-139,5,-7,4,NA,1.25
"Papilio rutulus","insect + host","ssp370_2071",680150,58.42,23.73,-104.98,-131.87,50.1,36.98,-115.35,-123.73,317317,157547,362834,-9,5,-71,3,NA,1.4
