"species","clim_model","sdm","area","perc_current","area_ratio"
"Papilio brevicauda","ensemble_ssp245_2071","brt",2351233,82.5,22.64
"Papilio brevicauda","ensemble_ssp245_2071","gam",1917380,77.98,26.73
"Papilio brevicauda","ensemble_ssp245_2071","lasso",2398311,83.66,18.9
"Papilio brevicauda","ensemble_ssp245_2071","maxent-tune",1074084,79.89,13.17
"Papilio brevicauda","ensemble_ssp245_2071","rf",2186831,75.4,40.67
"Papilio brevicauda","ensemble_ssp370_2041","brt",998946,82.5,9.62
"Papilio brevicauda","ensemble_ssp370_2041","gam",853313,77.22,11.9
"Papilio brevicauda","ensemble_ssp370_2041","lasso",1048260,84.17,8.26
"Papilio brevicauda","ensemble_ssp370_2041","maxent-tune",505776,79.96,6.2
"Papilio brevicauda","ensemble_ssp370_2041","rf",851153,74.91,15.83
"Papilio brevicauda","ensemble_ssp370_2071","brt",2461892,82.5,23.71
"Papilio brevicauda","ensemble_ssp370_2071","gam",2193039,78.06,30.57
"Papilio brevicauda","ensemble_ssp370_2071","lasso",2320666,82.53,18.29
"Papilio brevicauda","ensemble_ssp370_2071","maxent-tune",1349469,76.39,16.54
"Papilio brevicauda","ensemble_ssp370_2071","rf",2365394,75.03,43.99
"Papilio canadensis","current","brt",1449407,NA,NA
"Papilio canadensis","current","gam",1652010,NA,NA
"Papilio canadensis","current","lasso",2065814,NA,NA
"Papilio canadensis","current","maxent-tune",1773197,NA,NA
"Papilio canadensis","current","rf",1452807,NA,NA
"Papilio canadensis","ensemble_ssp245_2041","brt",1709252,39.18,1.18
"Papilio canadensis","ensemble_ssp245_2041","gam",448731,16.92,0.27
"Papilio canadensis","ensemble_ssp245_2041","lasso",637091,21.12,0.31
"Papilio canadensis","ensemble_ssp245_2041","maxent-tune",943590,32.24,0.53
"Papilio canadensis","ensemble_ssp245_2041","rf",2949400,61.06,2.03
"Papilio canadensis","ensemble_ssp245_2071","brt",2168378,27.82,1.5
"Papilio canadensis","ensemble_ssp245_2071","gam",460674,13.3,0.28
"Papilio canadensis","ensemble_ssp245_2071","lasso",647476,17.22,0.31
"Papilio canadensis","ensemble_ssp245_2071","maxent-tune",1121621,25.89,0.63
"Papilio canadensis","ensemble_ssp245_2071","rf",3645781,47.96,2.51
"Papilio canadensis","ensemble_ssp370_2041","brt",1953983,38.55,1.35
"Papilio canadensis","ensemble_ssp370_2041","gam",461848,16.39,0.28
"Papilio canadensis","ensemble_ssp370_2041","lasso",655824,20.09,0.32
"Papilio canadensis","ensemble_ssp370_2041","maxent-tune",1067206,31.04,0.6
"Papilio canadensis","ensemble_ssp370_2041","rf",3158039,58.18,2.17
"Papilio canadensis","ensemble_ssp370_2071","brt",3108429,26.12,2.14
"Papilio canadensis","ensemble_ssp370_2071","gam",692657,13.14,0.42
"Papilio canadensis","ensemble_ssp370_2071","lasso",708353,14.74,0.34
"Papilio canadensis","ensemble_ssp370_2071","maxent-tune",1149659,16.6,0.65
"Papilio canadensis","ensemble_ssp370_2071","rf",4463954,34.29,3.07
"Papilio cresphontes","current","brt",1118193,NA,NA
"Papilio cresphontes","current","gam",1188949,NA,NA
"Papilio cresphontes","current","lasso",1962916,NA,NA
"Papilio cresphontes","current","maxent-tune",1448281,NA,NA
"Papilio cresphontes","current","rf",1120089,NA,NA
"Papilio cresphontes","ensemble_ssp245_2041","brt",3094352,83.61,2.77
"Papilio cresphontes","ensemble_ssp245_2041","gam",330534,18.89,0.28
"Papilio cresphontes","ensemble_ssp245_2041","lasso",2792832,48.36,1.42
"Papilio cresphontes","ensemble_ssp245_2041","maxent-tune",1764005,65.68,1.22
"Papilio cresphontes","ensemble_ssp245_2041","rf",2423371,63.01,2.16
"Papilio cresphontes","ensemble_ssp245_2071","brt",3691472,86.35,3.3
"Papilio cresphontes","ensemble_ssp245_2071","gam",441458,21.03,0.37
"Papilio cresphontes","ensemble_ssp245_2071","lasso",4681611,48.73,2.39
"Papilio cresphontes","ensemble_ssp245_2071","maxent-tune",2233185,67.95,1.54
"Papilio cresphontes","ensemble_ssp245_2071","rf",2859896,67.03,2.55
"Papilio cresphontes","ensemble_ssp370_2041","brt",3354953,87.98,3
"Papilio cresphontes","ensemble_ssp370_2041","gam",387543,19.97,0.33
"Papilio cresphontes","ensemble_ssp370_2041","lasso",2921854,49.09,1.49
"Papilio cresphontes","ensemble_ssp370_2041","maxent-tune",1916117,66.13,1.32
"Papilio cresphontes","ensemble_ssp370_2041","rf",2708028,68.8,2.42
"Papilio cresphontes","ensemble_ssp370_2071","brt",5168278,93.93,4.62
"Papilio cresphontes","ensemble_ssp370_2071","gam",747541,24.04,0.63
"Papilio cresphontes","ensemble_ssp370_2071","lasso",5133801,55.51,2.62
"Papilio cresphontes","ensemble_ssp370_2071","maxent-tune",3368343,81.34,2.33
"Papilio cresphontes","ensemble_ssp370_2071","rf",3615567,74.62,3.23
"Papilio eurymedon","current","brt",579057,NA,NA
"Papilio eurymedon","current","gam",555927,NA,NA
"Papilio eurymedon","current","lasso",614557,NA,NA
"Papilio eurymedon","current","maxent-tune",705348,NA,NA
"Papilio eurymedon","current","rf",469388,NA,NA
"Papilio eurymedon","ensemble_ssp245_2041","brt",1377286,80.26,2.38
"Papilio eurymedon","ensemble_ssp245_2041","gam",771127,57.76,1.39
"Papilio eurymedon","ensemble_ssp245_2041","lasso",857009,49.49,1.39
"Papilio eurymedon","ensemble_ssp245_2041","maxent-tune",702802,69.66,1
"Papilio eurymedon","ensemble_ssp245_2041","rf",967536,66.93,2.06
"Papilio eurymedon","ensemble_ssp245_2071","brt",1599771,79.63,2.76
"Papilio eurymedon","ensemble_ssp245_2071","gam",746697,59.76,1.34
"Papilio eurymedon","ensemble_ssp245_2071","lasso",816518,46.69,1.33
"Papilio eurymedon","ensemble_ssp245_2071","maxent-tune",707151,70.02,1
"Papilio eurymedon","ensemble_ssp245_2071","rf",1090539,64.5,2.32
"Papilio eurymedon","ensemble_ssp370_2041","brt",1407780,80.37,2.43
"Papilio eurymedon","ensemble_ssp370_2041","gam",760795,61.4,1.37
"Papilio eurymedon","ensemble_ssp370_2041","lasso",840607,49.51,1.37
"Papilio eurymedon","ensemble_ssp370_2041","maxent-tune",706586,71.53,1
"Papilio eurymedon","ensemble_ssp370_2041","rf",1014373,65.29,2.16
"Papilio eurymedon","ensemble_ssp370_2071","brt",1750631,77.17,3.02
"Papilio eurymedon","ensemble_ssp370_2071","gam",680187,61.24,1.22
"Papilio eurymedon","ensemble_ssp370_2071","lasso",615228,42.48,1
"Papilio eurymedon","ensemble_ssp370_2071","maxent-tune",690779,67.74,0.98
"Papilio eurymedon","ensemble_ssp370_2071","rf",1083442,54.81,2.31
"Papilio glaucus","current","brt",1038838,NA,NA
"Papilio glaucus","current","gam",1016389,NA,NA
"Papilio glaucus","current","lasso",1369393,NA,NA
"Papilio glaucus","current","maxent-tune",1294400,NA,NA
"Papilio glaucus","current","rf",902307,NA,NA
"Papilio glaucus","ensemble_ssp245_2041","brt",1488300,32.28,1.43
"Papilio glaucus","ensemble_ssp245_2041","gam",2106775,73.67,2.07
"Papilio glaucus","ensemble_ssp245_2041","lasso",847261,37.28,0.62
"Papilio glaucus","ensemble_ssp245_2041","maxent-tune",667147,25.95,0.52
"Papilio glaucus","ensemble_ssp245_2041","rf",63311,3.3,0.07
"Papilio glaucus","ensemble_ssp245_2071","brt",1618847,34.45,1.56
"Papilio glaucus","ensemble_ssp245_2071","gam",2624915,75.45,2.58
"Papilio glaucus","ensemble_ssp245_2071","lasso",1452770,39.2,1.06
"Papilio glaucus","ensemble_ssp245_2071","maxent-tune",916090,33.25,0.71
"Papilio glaucus","ensemble_ssp245_2071","rf",47785,2.5,0.05
"Papilio glaucus","ensemble_ssp370_2041","brt",1520559,32.36,1.46
"Papilio glaucus","ensemble_ssp370_2041","gam",2194486,74.49,2.16
"Papilio glaucus","ensemble_ssp370_2041","lasso",975667,38.41,0.71
"Papilio glaucus","ensemble_ssp370_2041","maxent-tune",700695,28.02,0.54
"Papilio glaucus","ensemble_ssp370_2041","rf",65854,3.04,0.07
"Papilio glaucus","ensemble_ssp370_2071","brt",2215870,44.51,2.13
"Papilio glaucus","ensemble_ssp370_2071","gam",3034926,77.4,2.99
"Papilio glaucus","ensemble_ssp370_2071","lasso",2643521,40.71,1.93
"Papilio glaucus","ensemble_ssp370_2071","maxent-tune",1125750,33.75,0.87
"Papilio glaucus","ensemble_ssp370_2071","rf",26561,0.78,0.03
"Papilio indra","current","brt",521273,NA,NA
"Papilio indra","current","gam",551129,NA,NA
"Papilio indra","current","lasso",928880,NA,NA
"Papilio indra","current","maxent-tune",892806,NA,NA
"Papilio indra","current","rf",561605,NA,NA
"Papilio indra","ensemble_ssp245_2041","brt",2541694,63.47,4.88
"Papilio indra","ensemble_ssp245_2041","gam",1532691,47.25,2.78
"Papilio indra","ensemble_ssp245_2041","lasso",1328838,47.04,1.43
"Papilio indra","ensemble_ssp245_2041","maxent-tune",1932857,46.81,2.16
"Papilio indra","ensemble_ssp245_2041","rf",3127910,80.28,5.57
"Papilio indra","ensemble_ssp245_2071","brt",5234442,63.65,10.04
"Papilio indra","ensemble_ssp245_2071","gam",1683121,45.03,3.05
"Papilio indra","ensemble_ssp245_2071","lasso",1352725,44.87,1.46
"Papilio indra","ensemble_ssp245_2071","maxent-tune",2062343,43.35,2.31
"Papilio indra","ensemble_ssp245_2071","rf",5917079,81.77,10.54
"Papilio indra","ensemble_ssp370_2041","brt",2591769,65.37,4.97
"Papilio indra","ensemble_ssp370_2041","gam",1563176,46.87,2.84
"Papilio indra","ensemble_ssp370_2041","lasso",1293100,46.6,1.39
"Papilio indra","ensemble_ssp370_2041","maxent-tune",2001736,47.07,2.24
"Papilio indra","ensemble_ssp370_2041","rf",3180895,83.18,5.66
"Papilio indra","ensemble_ssp370_2071","brt",5444454,68.35,10.44
"Papilio indra","ensemble_ssp370_2071","gam",1718113,47.64,3.12
"Papilio indra","ensemble_ssp370_2071","lasso",1140804,40.49,1.23
"Papilio indra","ensemble_ssp370_2071","maxent-tune",1953585,43.47,2.19
"Papilio indra","ensemble_ssp370_2071","rf",6057062,85.94,10.79
"Papilio machaon","current","brt",1786576,NA,NA
"Papilio machaon","current","gam",2359516,NA,NA
"Papilio machaon","current","lasso",3914641,NA,NA
"Papilio machaon","current","maxent-tune",3723162,NA,NA
"Papilio machaon","current","rf",2847262,NA,NA
"Papilio machaon","ensemble_ssp245_2041","brt",3721497,47.52,2.08
"Papilio machaon","ensemble_ssp245_2041","gam",1544842,31.49,0.65
"Papilio machaon","ensemble_ssp245_2041","lasso",2599101,53.27,0.66
"Papilio machaon","ensemble_ssp245_2041","maxent-tune",1565351,37.07,0.42
"Papilio machaon","ensemble_ssp245_2041","rf",4586183,55.32,1.61
"Papilio machaon","ensemble_ssp245_2071","brt",4539866,45,2.54
"Papilio machaon","ensemble_ssp245_2071","gam",1528267,30.3,0.65
"Papilio machaon","ensemble_ssp245_2071","lasso",2769354,49.67,0.71
"Papilio machaon","ensemble_ssp245_2071","maxent-tune",1501740,33.33,0.4
"Papilio machaon","ensemble_ssp245_2071","rf",5219031,53.52,1.83
"Papilio machaon","ensemble_ssp370_2041","brt",3952292,46.94,2.21
"Papilio machaon","ensemble_ssp370_2041","gam",1625728,32.18,0.69
"Papilio machaon","ensemble_ssp370_2041","lasso",2573313,51.8,0.66
"Papilio machaon","ensemble_ssp370_2041","maxent-tune",1526807,35.48,0.41
"Papilio machaon","ensemble_ssp370_2041","rf",4874673,54.7,1.71
"Papilio machaon","ensemble_ssp370_2071","brt",5854980,50.74,3.28
"Papilio machaon","ensemble_ssp370_2071","gam",1728475,31.92,0.73
"Papilio machaon","ensemble_ssp370_2071","lasso",2905812,43.1,0.74
"Papilio machaon","ensemble_ssp370_2071","maxent-tune",1465184,27.43,0.39
"Papilio machaon","ensemble_ssp370_2071","rf",6222463,55.91,2.19
"Papilio multicaudata","current","brt",910231,NA,NA
"Papilio multicaudata","current","gam",1502020,NA,NA
"Papilio multicaudata","current","lasso",1672386,NA,NA
"Papilio multicaudata","current","maxent-tune",1357243,NA,NA
"Papilio multicaudata","current","rf",885955,NA,NA
"Papilio multicaudata","ensemble_ssp245_2041","brt",2356220,75.27,2.59
"Papilio multicaudata","ensemble_ssp245_2041","gam",2655436,61.37,1.77
"Papilio multicaudata","ensemble_ssp245_2041","lasso",1696319,59.75,1.01
"Papilio multicaudata","ensemble_ssp245_2041","maxent-tune",1736217,68.25,1.28
"Papilio multicaudata","ensemble_ssp245_2041","rf",1412828,52.68,1.59
"Papilio multicaudata","ensemble_ssp245_2071","brt",2422117,70.07,2.66
"Papilio multicaudata","ensemble_ssp245_2071","gam",3254140,55.84,2.17
"Papilio multicaudata","ensemble_ssp245_2071","lasso",1567245,53.86,0.94
"Papilio multicaudata","ensemble_ssp245_2071","maxent-tune",1626756,61.7,1.2
"Papilio multicaudata","ensemble_ssp245_2071","rf",1428286,47.02,1.61
"Papilio multicaudata","ensemble_ssp370_2041","brt",2357923,72.22,2.59
"Papilio multicaudata","ensemble_ssp370_2041","gam",2651102,58.7,1.77
"Papilio multicaudata","ensemble_ssp370_2041","lasso",1599888,56.15,0.96
"Papilio multicaudata","ensemble_ssp370_2041","maxent-tune",1643405,64.24,1.21
"Papilio multicaudata","ensemble_ssp370_2041","rf",1422087,49.87,1.61
"Papilio multicaudata","ensemble_ssp370_2071","brt",2581426,62.47,2.84
"Papilio multicaudata","ensemble_ssp370_2071","gam",3164459,51.49,2.11
"Papilio multicaudata","ensemble_ssp370_2071","lasso",1228839,45.34,0.73
"Papilio multicaudata","ensemble_ssp370_2071","maxent-tune",1363837,54.02,1
"Papilio multicaudata","ensemble_ssp370_2071","rf",1389207,38.64,1.57
"Papilio palamedes","current","brt",305076,NA,NA
"Papilio palamedes","current","gam",326262,NA,NA
"Papilio palamedes","current","lasso",496831,NA,NA
"Papilio palamedes","current","maxent-tune",372554,NA,NA
"Papilio palamedes","current","rf",293627,NA,NA
"Papilio palamedes","ensemble_ssp245_2041","brt",304792,57.43,1
"Papilio palamedes","ensemble_ssp245_2041","gam",138655,1.17,0.42
"Papilio palamedes","ensemble_ssp245_2041","lasso",20372,0.49,0.04
"Papilio palamedes","ensemble_ssp245_2041","maxent-tune",13185,1.51,0.04
"Papilio palamedes","ensemble_ssp245_2041","rf",1016586,87.03,3.46
"Papilio palamedes","ensemble_ssp245_2071","brt",581932,47.85,1.91
"Papilio palamedes","ensemble_ssp245_2071","gam",301992,0.37,0.93
"Papilio palamedes","ensemble_ssp245_2071","lasso",146202,0.33,0.29
"Papilio palamedes","ensemble_ssp245_2071","maxent-tune",70473,0.06,0.19
"Papilio palamedes","ensemble_ssp245_2071","rf",1556247,87.32,5.3
"Papilio palamedes","ensemble_ssp370_2041","brt",260655,52.31,0.85
"Papilio palamedes","ensemble_ssp370_2041","gam",117261,0.4,0.36
"Papilio palamedes","ensemble_ssp370_2041","lasso",10412,0.36,0.02
"Papilio palamedes","ensemble_ssp370_2041","maxent-tune",4931,0.4,0.01
"Papilio palamedes","ensemble_ssp370_2041","rf",1061526,87.54,3.62
"Papilio palamedes","ensemble_ssp370_2071","brt",401004,23.66,1.31
"Papilio palamedes","ensemble_ssp370_2071","gam",241217,0.08,0.74
"Papilio palamedes","ensemble_ssp370_2071","lasso",111583,0.08,0.22
"Papilio palamedes","ensemble_ssp370_2071","maxent-tune",42997,0,0.12
"Papilio palamedes","ensemble_ssp370_2071","rf",1496828,86.16,5.1
"Papilio polyxenes","current","brt",2066400,NA,NA
"Papilio polyxenes","current","gam",2274430,NA,NA
"Papilio polyxenes","current","lasso",3036118,NA,NA
"Papilio polyxenes","current","maxent-tune",2982191,NA,NA
"Papilio polyxenes","current","rf",1977475,NA,NA
"Papilio polyxenes","ensemble_ssp245_2041","brt",1075808,20.54,0.52
"Papilio polyxenes","ensemble_ssp245_2041","gam",1090266,13.64,0.48
"Papilio polyxenes","ensemble_ssp245_2041","lasso",2437438,61.02,0.8
"Papilio polyxenes","ensemble_ssp245_2041","maxent-tune",1622727,41.29,0.54
"Papilio polyxenes","ensemble_ssp245_2041","rf",1554355,35.77,0.79
"Papilio polyxenes","ensemble_ssp245_2071","brt",1305301,19.22,0.63
"Papilio polyxenes","ensemble_ssp245_2071","gam",1858510,14.54,0.82
"Papilio polyxenes","ensemble_ssp245_2071","lasso",3460714,60.03,1.14
"Papilio polyxenes","ensemble_ssp245_2071","maxent-tune",2055764,46.66,0.69
"Papilio polyxenes","ensemble_ssp245_2071","rf",1752851,33.2,0.89
"Papilio polyxenes","ensemble_ssp370_2041","brt",1144837,20.21,0.55
"Papilio polyxenes","ensemble_ssp370_2041","gam",1187723,14.36,0.52
"Papilio polyxenes","ensemble_ssp370_2041","lasso",2659821,61.59,0.88
"Papilio polyxenes","ensemble_ssp370_2041","maxent-tune",1719586,43.19,0.58
"Papilio polyxenes","ensemble_ssp370_2041","rf",1703107,37.81,0.86
"Papilio polyxenes","ensemble_ssp370_2071","brt",2227947,23.85,1.08
"Papilio polyxenes","ensemble_ssp370_2071","gam",2603768,18.52,1.14
"Papilio polyxenes","ensemble_ssp370_2071","lasso",5135176,56.56,1.69
"Papilio polyxenes","ensemble_ssp370_2071","maxent-tune",2299835,42.89,0.77
"Papilio polyxenes","ensemble_ssp370_2071","rf",2078544,31.93,1.05
"Papilio rumiko","current","brt",581217,NA,NA
"Papilio rumiko","current","gam",598475,NA,NA
"Papilio rumiko","current","lasso",706875,NA,NA
"Papilio rumiko","current","maxent-tune",760166,NA,NA
"Papilio rumiko","current","rf",568645,NA,NA
"Papilio rumiko","ensemble_ssp245_2041","brt",1096962,66.88,1.89
"Papilio rumiko","ensemble_ssp245_2041","gam",353440,24.6,0.59
"Papilio rumiko","ensemble_ssp245_2041","lasso",204137,18.2,0.29
"Papilio rumiko","ensemble_ssp245_2041","maxent-tune",491094,33.81,0.65
"Papilio rumiko","ensemble_ssp245_2041","rf",927635,55.99,1.63
"Papilio rumiko","ensemble_ssp245_2071","brt",1267314,68.68,2.18
"Papilio rumiko","ensemble_ssp245_2071","gam",463184,23.59,0.77
"Papilio rumiko","ensemble_ssp245_2071","lasso",206272,15.73,0.29
"Papilio rumiko","ensemble_ssp245_2071","maxent-tune",521859,33.09,0.69
"Papilio rumiko","ensemble_ssp245_2071","rf",1125626,57.07,1.98
"Papilio rumiko","ensemble_ssp370_2041","brt",1148225,67.73,1.98
"Papilio rumiko","ensemble_ssp370_2041","gam",391911,24.81,0.65
"Papilio rumiko","ensemble_ssp370_2041","lasso",198699,16.56,0.28
"Papilio rumiko","ensemble_ssp370_2041","maxent-tune",489911,33.1,0.64
"Papilio rumiko","ensemble_ssp370_2041","rf",978048,57.74,1.72
"Papilio rumiko","ensemble_ssp370_2071","brt",1637369,73.04,2.82
"Papilio rumiko","ensemble_ssp370_2071","gam",538712,22.72,0.9
"Papilio rumiko","ensemble_ssp370_2071","lasso",212061,13.76,0.3
"Papilio rumiko","ensemble_ssp370_2071","maxent-tune",699549,40.96,0.92
"Papilio rumiko","ensemble_ssp370_2071","rf",1279687,56.39,2.25
"Papilio rutulus","current","brt",760287,NA,NA
"Papilio rutulus","current","gam",557037,NA,NA
"Papilio rutulus","current","lasso",708260,NA,NA
"Papilio rutulus","current","maxent-tune",685386,NA,NA
"Papilio rutulus","current","rf",647018,NA,NA
"Papilio rutulus","ensemble_ssp245_2041","brt",1640690,87.86,2.16
"Papilio rutulus","ensemble_ssp245_2041","gam",770127,59.73,1.38
"Papilio rutulus","ensemble_ssp245_2041","lasso",1095235,57.08,1.55
"Papilio rutulus","ensemble_ssp245_2041","maxent-tune",703047,68.64,1.03
"Papilio rutulus","ensemble_ssp245_2041","rf",1581435,81.38,2.44
"Papilio rutulus","ensemble_ssp245_2071","brt",2029062,89.82,2.67
"Papilio rutulus","ensemble_ssp245_2071","gam",800155,63.1,1.44
"Papilio rutulus","ensemble_ssp245_2071","lasso",1197281,56.27,1.69
"Papilio rutulus","ensemble_ssp245_2071","maxent-tune",743527,69.22,1.08
"Papilio rutulus","ensemble_ssp245_2071","rf",2420030,84.59,3.74
"Papilio rutulus","ensemble_ssp370_2041","brt",1679620,89.24,2.21
"Papilio rutulus","ensemble_ssp370_2041","gam",761949,62.45,1.37
"Papilio rutulus","ensemble_ssp370_2041","lasso",1049152,57.25,1.48
"Papilio rutulus","ensemble_ssp370_2041","maxent-tune",701812,69.37,1.02
"Papilio rutulus","ensemble_ssp370_2041","rf",1667749,83.13,2.58
"Papilio rutulus","ensemble_ssp370_2071","brt",2193428,89.67,2.89
"Papilio rutulus","ensemble_ssp370_2071","gam",780147,66.73,1.4
"Papilio rutulus","ensemble_ssp370_2071","lasso",1029252,56.33,1.45
"Papilio rutulus","ensemble_ssp370_2071","maxent-tune",770542,73.31,1.12
"Papilio rutulus","ensemble_ssp370_2071","rf",2674813,84.19,4.13
"Papilio troilus","current","brt",719752,NA,NA
"Papilio troilus","current","gam",940059,NA,NA
"Papilio troilus","current","lasso",785050,NA,NA
"Papilio troilus","current","maxent-tune",953902,NA,NA
"Papilio troilus","current","rf",741777,NA,NA
"Papilio troilus","ensemble_ssp245_2041","brt",1345071,49.71,1.87
"Papilio troilus","ensemble_ssp245_2041","gam",706348,24.6,0.75
"Papilio troilus","ensemble_ssp245_2041","lasso",952168,40.45,1.21
"Papilio troilus","ensemble_ssp245_2041","maxent-tune",604942,36.08,0.63
"Papilio troilus","ensemble_ssp245_2041","rf",1251826,54.86,1.69
"Papilio troilus","ensemble_ssp245_2071","brt",1502533,54.99,2.09
"Papilio troilus","ensemble_ssp245_2071","gam",707331,18.8,0.75
"Papilio troilus","ensemble_ssp245_2071","lasso",1173699,33.6,1.5
"Papilio troilus","ensemble_ssp245_2071","maxent-tune",733118,36.61,0.77
"Papilio troilus","ensemble_ssp245_2071","rf",1373404,55.8,1.85
"Papilio troilus","ensemble_ssp370_2041","brt",1372636,51.17,1.91
"Papilio troilus","ensemble_ssp370_2041","gam",696799,23.81,0.74
"Papilio troilus","ensemble_ssp370_2041","lasso",948577,35.72,1.21
"Papilio troilus","ensemble_ssp370_2041","maxent-tune",577184,32.54,0.61
"Papilio troilus","ensemble_ssp370_2041","rf",1366068,57.02,1.84
"Papilio troilus","ensemble_ssp370_2071","brt",1824170,60.92,2.53
"Papilio troilus","ensemble_ssp370_2071","gam",653758,13.69,0.7
"Papilio troilus","ensemble_ssp370_2071","lasso",1226273,24.64,1.56
"Papilio troilus","ensemble_ssp370_2071","maxent-tune",512975,20.89,0.54
"Papilio troilus","ensemble_ssp370_2071","rf",1277595,47.28,1.72
"Papilio zelicaon","current","brt",751553,NA,NA
"Papilio zelicaon","current","gam",934257,NA,NA
"Papilio zelicaon","current","lasso",1037955,NA,NA
"Papilio zelicaon","current","maxent-tune",1021715,NA,NA
"Papilio zelicaon","current","rf",726682,NA,NA
"Papilio zelicaon","ensemble_ssp245_2041","brt",1356273,57.42,1.8
"Papilio zelicaon","ensemble_ssp245_2041","gam",822036,50.83,0.88
"Papilio zelicaon","ensemble_ssp245_2041","lasso",875919,39.9,0.84
"Papilio zelicaon","ensemble_ssp245_2041","maxent-tune",605649,52.24,0.59
"Papilio zelicaon","ensemble_ssp245_2041","rf",1140543,55.93,1.57
"Papilio zelicaon","ensemble_ssp245_2071","brt",1509489,59.8,2.01
"Papilio zelicaon","ensemble_ssp245_2071","gam",805782,53.14,0.86
"Papilio zelicaon","ensemble_ssp245_2071","lasso",909008,39.59,0.88
"Papilio zelicaon","ensemble_ssp245_2071","maxent-tune",607936,52.89,0.6
"Papilio zelicaon","ensemble_ssp245_2071","rf",1365417,58.65,1.88
"Papilio zelicaon","ensemble_ssp370_2041","brt",1365860,59.35,1.82
"Papilio zelicaon","ensemble_ssp370_2041","gam",801105,52.29,0.86
"Papilio zelicaon","ensemble_ssp370_2041","lasso",871102,40.53,0.84
"Papilio zelicaon","ensemble_ssp370_2041","maxent-tune",606424,52.99,0.59
"Papilio zelicaon","ensemble_ssp370_2041","rf",1218466,59.47,1.68
"Papilio zelicaon","ensemble_ssp370_2071","brt",1566118,67.31,2.08
"Papilio zelicaon","ensemble_ssp370_2071","gam",795716,56.53,0.85
"Papilio zelicaon","ensemble_ssp370_2071","lasso",779075,40.33,0.75
"Papilio zelicaon","ensemble_ssp370_2071","maxent-tune",624705,56.55,0.61
"Papilio zelicaon","ensemble_ssp370_2071","rf",1730562,62.65,2.38
"Prunus serotina","current","brt",1480751,NA,NA
"Prunus serotina","current","gam",1797612,NA,NA
"Prunus serotina","current","lasso",2528786,NA,NA
"Prunus serotina","current","maxent-tune",2692166,NA,NA
"Prunus serotina","current","rf",1334495,NA,NA
"Prunus serotina","ensemble_ssp245_2041","brt",1077077,33.74,0.73
"Prunus serotina","ensemble_ssp245_2041","gam",394721,14.66,0.22
"Prunus serotina","ensemble_ssp245_2041","lasso",267533,6.35,0.11
"Prunus serotina","ensemble_ssp245_2041","maxent-tune",249141,5.42,0.09
"Prunus serotina","ensemble_ssp245_2041","rf",479591,16.35,0.36
"Prunus serotina","ensemble_ssp245_2071","brt",1037002,32.73,0.7
"Prunus serotina","ensemble_ssp245_2071","gam",475378,12.18,0.26
